[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
[100 , 99 1 , 99 , 97 3 , 97 3 , 97 3 , 94 5 , 93 5 1 , 92 8 , 92 4 , 91 8 , 89 11 , 89 11 , 88 12 , 88 10 , 88 10 , 88 11 , 87 13 , 87 8 4 , 86 14 , 86 14 , 86 14 , 86 6 6 , 86 13 , 85 15 , 84 16 , 83 16 , 83 17 , 82 17 , 81 17 , 81 18 , 81 , 81 15 , 80 , 80 , 79 , 79 20 , 79 , 78 22 , 78 22 , 77 , 77 , 77 22 , 76 24 , 76 24 , 76 22 , 75 , 74 22 , 74 26 , 73 27 , 73 27 , 73 23 , 73 , 72 , 72 27 , 72 , 72 , 72 , 71 29 , 71 29 , 69 31 , 69 31 , 68 30 , 67 30 , 67 31 , 66 34 , 66 34 , 66 34 , 66 30 , 64 36 , 64 36 , 64 36 , 64 34 , 63 37 , 63 36 , 62 38 , 61 39 , 61 34 , 61 38 , 60 40 , 60 40 , 59 41 , 59 40 , 57 42 , 56 38 , 56 44 , 56 44 , 55 45 , 55 45 , 55 39 , 54 46 , 54 46 , 53 47 , 53 47 , 52 46 , 52 46 , 52 46 , 51 49 , 50 50 , 50 45 , 49 49 , 49 46 , 45 38 , 38 38 , 37 34 , 30 30 ]
